"term","estimate","std_error","ci_low","ci_up","z_value","p_value","p_value_adj","pct_change","pct_low","pct_up"
"PartSop_IntervalsAugmentedAsc_Per",0.031301195977994,0.0243400422721458,-0.04631470221533,0.108917094171318,1.28599595793695,0.198444472354316,1,3.17962299640258,-4.52585443430038,11.5069900715037
"PartSop_IntervalsAugmentedDesc_Per",0.0423914730933675,0.0246525582950969,-0.0362209809625121,0.121003927149247,1.71955675293134,0.0855130430748538,1,4.33028238012507,-3.55728501062037,12.8629344654522
"PartSop_IntervalsBeyondOctaveAsc_Per",0.0513732342818615,0.0200687611050921,-0.0126223373520265,0.115368805915749,2.55986077131719,0.0104714105356046,0.366499368746163,5.2715729567989,-1.25430097691966,12.2287267439198
"PartSop_IntervalsBeyondOctaveDesc_Per",0.0367907578077309,0.0218103675730182,-0.0327584751056232,0.106339990721085,1.68684721541535,0.0916327339507923,1,3.74759143902812,-3.22277275399556,11.2199949895122
"PartSop_IntervalsDiminishedAsc_Per",0.0149826665972755,0.0245247963069976,-0.063222378081479,0.0931877112760301,0.610919104473889,0.54125313650575,1,1.50954694046521,-6.12653035445623,9.76677605468323
"PartSop_IntervalsDiminishedDesc_Per",-0.0631862289274723,0.0242055566399106,-0.140373277284657,0.0140008194297123,-2.61040181258586,0.00904359290494751,0.316525751673163,-6.12313684660901,-13.0966215723814,1.40992899212413
"PartSop_IntervalsMajorAll_Per",0.0297925865552775,0.0144674961809881,-0.0163415860209513,0.0759267591315062,2.05927730566318,0.0394676812305126,1,3.0240825992718,-1.62087866721341,7.88835528951086
"PartSop_IntervalsMajorAsc_Per",0.0242538429960484,0.0153490980337074,-0.0246915950201757,0.0731992810122724,1.5801477678223,0.114073030175766,1,2.45503598172527,-2.43892511505234,7.59449309466524
"PartSop_IntervalsMinorAll_Per",-0.0692851898523045,0.0213873330751072,-0.13748544390379,-0.00108493580081941,-3.23954321976431,0.00119721320932079,0.0419024623262275,-6.69394572682024,-12.8452963772662,-0.108434747075947
"PartSop_IntervalsPerfectAll_Per",0.0177916877184358,0.014375727206135,-0.0280498505505118,0.0636332259873834,1.23762001485692,0.21585698951385,1,1.79509026267295,-2.76601060859393,6.57014554728934
"PartSop_IntervalsPerfectAsc_Per",0.00671800394806023,0.0209086046129802,-0.0599556734786499,0.0733916813747704,0.321303313751011,0.747980545436806,1,0.674062035391865,-5.81937203448244,7.61519630572824
"PartSop_IntervalsPerfectDesc_Per",0.0374987289133312,0.0210547392755064,-0.0296409449550584,0.104638402781721,1.78101131639063,0.0749106020623567,1,3.82106774252349,-2.92059605241687,11.0309053094057
"PartSop_IntervalsWithinOctaveDesc_Per",0.00174378318887738,0.0151402044760371,-0.0465355318632163,0.050023098240971,0.11517566963097,0.908305883142616,1,0.174530446291121,-4.54693562848588,5.12953791695778
"PartSop_LargestSemitonesAsc",0.0725489377467665,0.0192506572295803,0.0111621482342618,0.133935727259271,3.76864731845565,0.000164134603960004,0.00574471113860014,7.52454248909369,1.12246774477434,14.3319333016018
"PartSop_LargestSemitonesDesc",-0.0654228562497381,0.0202051547846183,-0.129853362130081,-0.000992350369394934,-3.23792898134801,0.0012040077705214,0.0421402719682491,-6.33286976904172,-12.1775797594706,-0.0991858152597724
"PartSop_LeapsAsc_Per",0.0277005890497515,0.0180031203941943,-0.0297080359663607,0.0851092140658637,1.53865487999983,0.123888572983512,1,2.80878175839721,-2.92710898932212,8.88359764090163
"PartSop_LeapsDesc_Per",0.0122684496963505,0.0187948993794166,-0.047665012229308,0.072201911622009,0.652754209995207,0.51391474798142,1,1.23440158355881,-4.6546871275204,7.48723513748462
"PartSop_RhythmInt",0.00653224539166588,0.0217670334640713,-0.0628788030538588,0.0759432938371906,0.300098100296856,0.764102328207481,1,0.655362703796025,-6.09427223330484,7.89013920646058
"PartSop_StepwiseMotionAll_Per",-0.0187882819239531,0.0139709313553457,-0.0633390010072701,0.0257624371593639,-1.34481241415335,0.178685820268277,1,-1.86128823583525,-6.13747751478312,2.60971569613102
"PartSop_SyllabicRatio",0.0179589232076378,0.0217998249996981,-0.0515566913870481,0.0874745378023237,0.823810430032649,0.410047280293844,1,1.81211543795847,-5.02501941978757,9.14144742780629
"PartSop_TrimmedAbsoluteIntervallicStd",0.04760603727991,0.0146403562076459,0.000920646013066163,0.0942914285467538,3.25169938522724,0.00114717282854006,0.0401510489989022,4.87574026076874,0.092106993769181,9.88799442426487
"PartSop_VoicePresence",0.0533883422788349,0.0246080317877672,-0.0250821249710578,0.131858809528728,2.16954946820958,0.030040992994841,1,5.48392042500285,-2.4770181981061,14.0947217019184
"PartSop_LargestIntervalAll_M9",0.0117259881197171,0.0245209940581438,-0.0664669318898753,0.0899189081293095,0.478201988545513,0.632506447322454,1,1.17950070262174,-6.43061430277488,9.40855586631717
"PartSop_LargestIntervalAll_P8",-0.0303507717645073,0.0229855244839945,-0.103647362966877,0.0429458194378626,-1.3204298116252,0.186691555729528,1,-2.98948116484204,-9.84568411221707,4.38813352408627
